,Company,Location,Date,Rocket,Country
4144,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2018-12-19,GSLV Mk II, India
4145,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2018-12-19,Soyuz ST-A/Fregat-M, France
4146,VKS RF,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2018-12-21,Proton-M/Briz-M, Kazakhstan
4147,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2018-12-21,Long March 11, China
4148,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018-12-23,Falcon 9 Block 5, USA
4149,CASC,"LC-3, Xichang Satellite Launch Center, China",2018-12-24,Long March 3C/E, China
4150,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2018-12-27,Soyuz 2.1a/Fregat, Russia
4151,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018-12-29,Long March 2D/YZ-3, China
4152,CASC,"LC-2, Xichang Satellite Launch Center, China",2019-01-10,Long March 3B/E, China
4153,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-01-11,Falcon 9 Block 5, USA
4154,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019-01-15,Simorgh, Iran
4155,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2019-01-18,Epsilon PBS, Japan
4156,ULA,"SLC-6, Vandenberg AFB, California, USA",2019-01-19,Delta IV Heavy, USA
4157,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-01-21,Long March 11, China
4158,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-01-23,New Shepard, USA
4159,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-01-24,PSLV-DL, India
4160,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-02-05,Ariane 5 ECA, France
4161,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019-02-05,Safir-1B+, Iran
4162,VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-02-21,Soyuz 2.1b/Fregat-M, Kazakhstan
4163,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-02-22,Falcon 9 Block 5, USA
4164,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-02-27,Soyuz ST-B/Fregat-M, France
4165,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-03-02,Falcon 9 Block 5, USA
4166,Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-03-02,SARGE, New Mexico
4167,CASC,"LC-3, Xichang Satellite Launch Center, China",2019-03-09,Long March 3B/E, China
4168,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-03-14,Soyuz FG, Kazakhstan
4169,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2019-03-16,"Delta IV Medium+ (5,4)", USA
4170,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-03-22,Vega, France
4171,OneSpace,"Site 95, Jiuquan Satellite Launch Center, China",2019-03-27,OS-M1, China
4172,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-03-28,Electron/Curie, New Zealand
4173,CASC,"LC-2, Xichang Satellite Launch Center, China",2019-03-31,Long March 3B/E, China
4174,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-04-01,PSLV-QL, India
4175,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-04-04,Soyuz 2.1a, Kazakhstan
4176,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-04-04,Soyuz ST-B/Fregat-MT, France
4177,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-04-11,Falcon Heavy, USA
4178,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-04-17,Antares 230, USA
4179,CASC,"LC-3, Xichang Satellite Launch Center, China",2019-04-20,Long March 3B/E, China
4180,CASC,"Taiyuan Satellite Launch Center, China",2019-04-29,Long March 4B, China
4181,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-05-02,New Shepard, USA
